latitude,longitude,altitude,geometry,HID,Type,Kodomo,Name,Label,AgeS,AgeE,Full,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Add1,Add2,TEL,FAX,Owner,Ownership,Proof,Shanai,Y,X,url,Vacancy,VacancyDate
35.613927,139.368459,,Point,1079,認可保育所,,光明第八保育園,光明第八保育園,産休明け,,128,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,上柚木三丁目13-2,,,社会福祉法人多摩養育園,私,,,35.613927,139.368459,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.613111,139.390471,,Point,1080,認可保育所,,せいがの森こども園,せいがの森こども園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,別所一丁目７３,,,社会福祉法人省我会,私,,,35.613111,139.390471,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.611419,139.364337,,Point,1081,認可保育所,,めぐみ第二保育園,めぐみ第二保育園,産休明け,,100,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,鑓水二丁目79,,,社会福祉法人公徳福祉会,私,,,35.611419,139.364337,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.6591,139.347784,,Point,1082,認可保育所,,つくし保育園,つくし保育園,産休明け,,30,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,明神町一丁目22-20,,,社会福祉法人月峰会,私,,,35.6591,139.347784,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.622898,139.318771,,Point,1083,認可保育所,,みなみ野さゆり保育園,みなみ野さゆり保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:30まで,,,,,八王子市,七国五丁目14-1,,,社会福祉法人愛信芳主会,私,,,35.622898,139.318771,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.644434,139.290011,,Point,1084,認可保育所,,敬愛たかお保育園,敬愛たかお保育園,産休明け,,80,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,東浅川町550-32,,,社会福祉法人敬愛学園,私,,,35.644434,139.290011,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.627231,139.391004,,Point,1085,認可保育所,,まつの木保育園,まつの木保育園,産休明け,,100,07:30,18:30,,祝日及び12/29～1/3は休園、延長保育19:30まで,,,,,八王子市,松木　6-2,,,社会福祉法人寿仁会,私,,,35.627231,139.391004,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.645432,139.354764,,Point,1086,認可保育所,,敬愛きたの保育園,敬愛きたの保育園,産休明け,,80,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,,,,八王子市,北野町545－3 ,,,社会福祉法人敬愛学園,私,,,35.645432,139.354764,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.616372,139.32146,,Point,1087,認可保育所,,みなみ野敬愛保育園,みなみ野敬愛保育園,産休明け,,130,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,七国3-53-1,,,社会福祉法人敬愛学園,私,,,35.616372,139.32146,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
35.623552,139.399316,,Point,1088,認可保育所,,駅前なかよし保育園第１,駅前なかよし保育園第１,産休明け,,80,07:00,18:00,,祝日及び12/29～1/3は休園、延長保育19:00まで,,Y,,,八王子市,別所一丁目9-3,,,社会福祉法人育美会,私,,,35.623552,139.399316,http://www.city.hachioji.tokyo.jp/kurashi/kosodate/003/001/hoikujyoitiran/p001265.html,,
